0.0333333 0.0166667 0 0 0 0 0 0 0 0 0 
0.0166667 0.0666667 0.0166667 0 0 0 0 0 0 0 0 
0 0.0166667 0.0666667 0.0166667 0 0 0 0 0 0 0 
0 0 0.0166667 0.0666667 0.0166667 0 0 0 0 0 0 
0 0 0 0.0166667 0.0666667 0.0166667 0 0 0 0 0 
0 0 0 0 0.0166667 0.0666667 0.0166667 0 0 0 0 
0 0 0 0 0 0.0166667 0.0666667 0.0166667 0 0 0 
0 0 0 0 0 0 0.0166667 0.0666667 0.0166667 0 0 
0 0 0 0 0 0 0 0.0166667 0.0666667 0.0166667 0 
0 0 0 0 0 0 0 0 0.0166667 0.0666667 0.0166667 
0 0 0 0 0 0 0 0 0 0.0166667 0.0333333 
